[🔶debug] [2024-07-18 11:37:54]: 	✌️ 更新服务启动成功！
[🔵info] [2024-07-18 11:37:55]: 	✌️ Sentry loaded
[🔶debug] [2024-07-18 11:37:55]: 	✌️ 定时服务启动成功！
[🔵info] [2024-07-18 11:37:55]: 	✌️ DB loaded
[🔶debug] [2024-07-18 11:37:55]: 	✌️ 公共服务启动成功！
[🔵info] [2024-07-18 11:37:56]: 	✌️ DB loaded
[🔵info] [2024-07-18 11:37:56]: 	✌️ Init file down
[🔵info] [2024-07-18 11:37:56]: 	✌️ Sentry loaded
[🔵info] [2024-07-18 11:37:56]: 	✌️ Dependency loaded
[🔵info] [2024-07-18 11:37:56]: 	✌️ Init data loaded
[🔵info] [2024-07-18 11:37:56]: 	✌️ Link deps loaded
[🔵info] [2024-07-18 11:37:56]: 	✌️ Init task loaded
[🔵info] [2024-07-18 11:37:56]: 	[HPM] Proxy created: /  -> http://0.0.0.0:5400/api
[🔵info] [2024-07-18 11:37:56]: 	[HPM] Proxy rewrite rule created: "/api/public" ~> ""
[🔵info] [2024-07-18 11:37:56]: 	✌️ Express loaded
[🔵info] [2024-07-18 11:37:56]: 	✌️ Sock loaded
[🔶debug] [2024-07-18 11:37:56]: 	✌️ 后端服务启动成功！
[🔵info] [2024-07-18 11:37:56]: 	[取消interval任务], 任务ID: NaN, 任务名: 生成token
[🔵info] [2024-07-18 11:37:56]: 	[panel][创建interval任务], 任务ID: NaN, 任务名: 生成token, 执行命令: node /ql/static/build/token.js
[🔵info] [2024-07-18 11:37:56]: 	[schedule][任务加入队列] 运行中任务数: 0, 等待中任务数: 1
[🔵info] [2024-07-18 11:37:56]: 	[schedule][开始处理任务] 运行中任务数: 1, 等待中任务数: 0
[🔵info] [2024-07-18 11:37:56]: 	[panel][开始执行任务] 参数 {"name":"生成token","command":"node /ql/static/build/token.js"}
[🔵info] [2024-07-18 11:37:57]: 	[schedule][任务处理成功] 参数 {"name":"生成token","command":"node /ql/static/build/token.js","pid":183,"code":0}
[🔵info] [2024-07-18 11:37:57]: 	[schedule][任务队列] 空闲中...
[🔵info] [2024-07-18 11:37:57]: 	[schedule][任务处理结束] 运行中任务数: 0, 等待中任务数: 0
